video_id,title,description,channel,published_at,url,comment_sample
xqV0_5EMSIA,[FULL] Menegosiasikan Sound Horeg Antara Hiburan dan Fatwa Haram | SAPA JEMBER,KOMPAS.TV - Fenomena sound horeg sebagai media hiburan dengan kekhasan penggunaan suara yang menggelegar dan ...,KOMPASTV JEMBER,2025-08-02T17:55:55Z,https://www.youtube.com/watch?v=xqV0_5EMSIA,"['Yang maksiat bukannya pondok pesantren ya kebanyakan 😂 cabul, kenapa gak di bahas😂', 'MUI kurang gawean. kalau keputusan 80 DB . TOA  di seluruh masjid jawa timur wajib di turunkan .karena suara melebihi 90 DB', 'Kslau Dangdut koplo gmna pak kyai? \nKalau di pasar/mall gmn pak kyai? Kan dsitu bercampur laki2 dan perempuan?', 'percampuran laki² perempuan.\nKLO yai nyabuli santriwati gmn halal kah yai,\nngaji Lanang wedok kumpul Yo pie.?', 'Yang tegas lah,, semua jenis hiburan pasti mengandung unsur"" negatif,, jika buat atuan jangan nanggung itu tidak adil,,\nHapus hiburan di indonesia itu baru itu adil,, dan hampir 60% selesai tugas MUI,,']"
q2uxBu66m7Q,Pengusaha Sound Horeg Sebut Fatwa MUI Hambat Indonesia Jadi Negara Maju,Fatwa haram tentang sound horeg yang dikeluarkan oleh Majelis Ulama Indonesia (MUI) mendapatkan tanggapan dari pelaku ...,Topik Populer,2025-07-10T07:31:41Z,https://www.youtube.com/watch?v=q2uxBu66m7Q,"['Kurang kerjaan mui', 'Emangnya Indonesia bisa maju dgn sound horeg', 'Yg pasti g ada yg sholat', 'Horeg itu cm untung ke yg punya bukan ke orang lain. Banyak sekali yg dirugikan oleh sound horeg. Mending dibubarin aja.', 'Banyak mudarotnya dari pada manfaatnya']"
0L2sK5rjsjo,Fatwa Haram Sound Horeg Dikritik Pengusaha Blitar: Bisa Hambat Kemajuan Bangsa,Fatwa haram sound horeg dari Majelis Ulama Indonesia (MUI) mendapatkan tanggapan dari pelaku usaha sound horeg di Blitar.,OST CORNER,2025-07-14T06:47:47Z,https://www.youtube.com/watch?v=0L2sK5rjsjo,"['Inilah indonesia,bagi yg punya kelebihan pasti terhenti.indonesiaaa', 'Ya sound horeg  hanya menawarkan dentuman musik yg familiar di putar di bar diskotik apa fungsinya sound horeg di kampung memang ada manfaat yg kecil bagi umkm tapi ??????? APa iya bisa memajukan bangsa dng menawarkan pendidikan party sedangkan ekonomi pas pres pas pres min min', 'Saond kaya gitu jujur aku ga seneng mas', 'Seharus nya jgn putus pencarian rezeki orang.ada solusinya dong.jgn main fatwa aja', 'Maju dalam arti mengembangkan kemasiatan di bangsanya sendiri']"
C1ofzVeuVsE,"Dikecam,Fatwa MUI: Sound Horeg Haram. #politik #fatwa. #mui #haram #sundhoreg",,Politik_Negeri,2025-07-23T11:34:14Z,https://www.youtube.com/watch?v=C1ofzVeuVsE,[]
m8PmaD16oHw,FATWA HARAM DI KELUARKAN MUI JAWA TIMUR TERHADAP FENOMENA SOUND HOREG,Fatwa haram yang dikeluarkan Majelis Ulama Indonesia (MUI) Jawa Timur terhadap fenomena sound horeg memicu reaksi ...,Naraya Media,2025-08-23T02:00:45Z,https://www.youtube.com/watch?v=m8PmaD16oHw,[]
xdEjTj9EmmA,ALASAN MENGAPA SOUND HOREG DIFATWA HARAM OLEH MUI JATIM - GUS WAFI,WARNING❗ Bila Anda ingin Bisa Untuk Melihat Chanel Pecinta Ulama- Yang Terkena Batasan/Chanel Ini tidak tersedia lagi.,PECINTA ULAMA,2025-07-18T03:28:36Z,https://www.youtube.com/watch?v=xdEjTj9EmmA,['mantap ust wafi']
PWUeijJb3ao,FATWA MUI TENTANG SOUND HOREG - USTADZ ADI HIDAYAT ,"Sound horeg viral Tag : Sound horeg viral, Sound horeg ricuh, Fatwa mui sound horeg, Fatwa mui tentang sound horeg, Sound ...",haziqa wafa,2025-07-25T11:44:05Z,https://www.youtube.com/watch?v=PWUeijJb3ao,[]
EGq5tWWqT8s,Fatwa MUI Sound Horeg Haram #soundhoreg #mui #music,,Putry Luhur,2025-07-25T05:25:46Z,https://www.youtube.com/watch?v=EGq5tWWqT8s,[]
6waO0_QJ8ZU,"SOUND HOREG DIHARAMKAN MUI, WARGA MALAH TEMPELIN LOGO HALAL","Sound horeg akhirnya difatwakan haram oleh MUI Jawa Timur. Alasannya bukan cuma karena berisik, tapi juga dianggap ...",Tiba Tiba Banged,2025-07-17T10:45:00Z,https://www.youtube.com/watch?v=6waO0_QJ8ZU,"['Walaupun gw orang jatim tapi juga pernah ngerasain sound horeg ini beneran telinga gw hampir pecah njir emang pantes sound horeg minta di ilangin😹😹', 'Sound horeg goblox', 'kesalahan berpikir wowkwkw', 'Mana ada haram cok..?? Cuma bikin tuli dan goblok kok haram..??', 'Absolute dongo 🤚🗿🖐️']"
z7YP5aK74tw,GAK CUMAK CANGKRUK&#39;AN &quot;POLEMIK FATWA HARAM SOUND HOREG&quot;,"Sound Horeg!!! dibahasa neng kene. Fatwa HARAM Sound Horeng dadi pro kontra. Gak cumak obrolan kosong, iki obrolan sing ...",JTV Rek,2025-07-12T00:03:31Z,https://www.youtube.com/watch?v=z7YP5aK74tw,"['Menit 11:16 = jelas lewat kampung lah kan yg sewa warga\nMenit 14:28 = mereka bukan mencaci maki , melainkan bentuk protes karna MUI langsung memfatwakan haram tanpa merundingkan kepada pihak yg bersangkutan', 'Kalo ada acara desa njenengan nyumbang berapa pak yai.', 'Yang nyewa seneng kok yang gak nyewa ribut', ""Kh ma'ruf khozin apakah anda masih biasa melihat dancer cantik & sexy di youtube yg membuat iman anda tergoyahkan & menjadi seorang pembenci..? Merdeka utk sound horeg yg 100% halal"", 'Yang ngadain didesanya sendri\nYang ngusak orng luar kota']"
